offline_datapoint_11 1631708146 136507,000
offline_datapoint_5 1631708146 3307,000
offline_datapoint_18 1631708144 55,333
offline_datapoint_27 1631708146 492589056,000
offline_datapoint_14 1631708146 940584960,000
offline_datapoint_3 1631708146 6703230976,000
offline_datapoint_9 1631708146 311861248,000
offline_datapoint_26 1631708146 2717,000
offline_datapoint_20 1631708144 1042,612
offline_datapoint_8 1631708144 66123,926
offline_datapoint_22 1631708146 311861248,000
offline_datapoint_1 1631708144 165,483
offline_datapoint_21 1631708146 4146397184,000
offline_datapoint_7 1631708146 6580678656,000
offline_datapoint_6 1631708144 0,261
offline_datapoint_12 1631708144 32,811
offline_datapoint_25 1631708144 16,814
offline_datapoint_13 1631708144 18387,998
offline_datapoint_19 1631708146 0,000
offline_datapoint_0 1631708144 21972,246
offline_datapoint_16 1631708144 4928,133
offline_datapoint_29 1631708144 7,047
offline_datapoint_17 1631708144 258,901
offline_datapoint_10 1631708144 96,804
offline_datapoint_30 1631708144 6,339
offline_datapoint_23 1631708144 21284,948
offline_datapoint_4 1631708144 0,141
offline_datapoint_11 1631708149 136507,000
offline_datapoint_5 1631708149 3369,000
offline_datapoint_18 1631708147 55,491
offline_datapoint_27 1631708149 492421120,000
offline_datapoint_14 1631708149 936075264,000
offline_datapoint_3 1631708149 6722318336,000
offline_datapoint_9 1631708149 311504896,000
offline_datapoint_26 1631708149 2698,000
offline_datapoint_20 1631708147 21,010
offline_datapoint_8 1631708147 35721,090
offline_datapoint_22 1631708149 311504896,000
offline_datapoint_1 1631708147 3,668
offline_datapoint_21 1631708149 4162093056,000
offline_datapoint_7 1631708149 6640824320,000
offline_datapoint_6 1631708147 0,065
offline_datapoint_12 1631708147 16,336
offline_datapoint_25 1631708147 5,990
offline_datapoint_13 1631708147 4912,108
offline_datapoint_19 1631708149 3,000
offline_datapoint_0 1631708147 6394,179
offline_datapoint_16 1631708147 1040,517
offline_datapoint_29 1631708147 0,812
offline_datapoint_17 1631708147 60,030
offline_datapoint_10 1631708147 98,995
offline_datapoint_30 1631708147 1,667
offline_datapoint_23 1631708147 10143,289
offline_datapoint_4 1631708147 0,016
offline_datapoint_11 1631708152 136507,000
offline_datapoint_5 1631708152 3403,000
offline_datapoint_18 1631708150 56,183
offline_datapoint_27 1631708152 492740608,000
offline_datapoint_14 1631708152 936415232,000
offline_datapoint_3 1631708152 6806179840,000
offline_datapoint_9 1631708152 310259712,000
offline_datapoint_26 1631708152 2617,000
offline_datapoint_20 1631708150 57,381
offline_datapoint_8 1631708150 44564,570
offline_datapoint_22 1631708152 310259712,000
offline_datapoint_1 1631708150 15,589
offline_datapoint_21 1631708152 4176961536,000
offline_datapoint_7 1631708152 6631612416,000
offline_datapoint_6 1631708150 0,324
offline_datapoint_12 1631708150 22,718
offline_datapoint_25 1631708150 9,199
